seed,perturbation,baseline_acc,concat_acc,film_acc,concat_delta_vs_baseline,film_delta_vs_baseline,baseline_drop_vs_full,concat_drop_vs_full,film_drop_vs_full
43,low_0.30,0.5993265993265994,0.44612794612794615,0.4713804713804714,-0.15319865319865322,-0.12794612794612797,0.09932659932659926,0.25589225589225584,0.23232323232323232
43,low_0.50,0.6632996632996633,0.6632996632996633,0.6161616161616161,0.0,-0.047138047138047146,0.03535353535353536,0.03872053872053871,0.08754208754208759
43,phase_noise_0.05,0.6666666666666666,0.6818181818181818,0.6784511784511784,0.015151515151515138,0.011784511784511786,0.03198653198653201,0.02020202020202022,0.025252525252525304
43,phase_noise_0.10,0.6801346801346801,0.6801346801346801,0.6835016835016835,0.0,0.0033670033670033517,0.01851851851851849,0.02188552188552184,0.02020202020202022
44,amplitude_noise_0.05,0.6767676767676768,0.6750841750841751,0.664983164983165,-0.0016835016835017313,-0.011784511784511786,0.02188552188552184,0.03367003367003374,0.030303030303030276
44,amplitude_noise_0.10,0.6767676767676768,0.6734006734006734,0.6565656565656566,-0.0033670033670033517,-0.02020202020202022,0.02188552188552184,0.03535353535353536,0.03872053872053871
44,band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,band_0.50_0.75,0.16666666666666666,0.16498316498316498,0.16666666666666666,-0.0016835016835016758,0.0,0.531986531986532,0.5437710437710438,0.5286195286195287
44,blur_heavy,0.32491582491582494,0.2255892255892256,0.24074074074074073,-0.09932659932659935,-0.08417508417508421,0.3737373737373737,0.48316498316498324,0.4545454545454546
44,blur_light,0.563973063973064,0.2996632996632997,0.47474747474747475,-0.26430976430976433,-0.08922558922558926,0.13468013468013462,0.4090909090909091,0.22053872053872053
44,downsample_x2,0.6447811447811448,0.6414141414141414,0.6599326599326599,-0.0033670033670033517,0.015151515151515138,0.05387205387205385,0.06734006734006737,0.03535353535353536
44,downsample_x4,0.5909090909090909,0.398989898989899,0.5387205387205387,-0.19191919191919193,-0.05218855218855223,0.1077441077441077,0.3097643097643098,0.15656565656565657
44,full,0.6986531986531986,0.7087542087542088,0.6952861952861953,0.010101010101010166,-0.0033670033670033517,0.0,0.0,0.0
44,high_0.30,0.17003367003367004,0.1734006734006734,0.1717171717171717,0.0033670033670033517,0.0016835016835016758,0.5286195286195285,0.5353535353535355,0.5235690235690236
44,high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,low_0.15,0.49663299663299665,0.26936026936026936,0.37373737373737376,-0.2272727272727273,-0.12289562289562289,0.202020202020202,0.43939393939393945,0.32154882154882153
44,low_0.30,0.6043771043771043,0.3451178451178451,0.5538720538720538,-0.25925925925925924,-0.0505050505050505,0.09427609427609429,0.3636363636363637,0.14141414141414144
44,low_0.50,0.6565656565656566,0.6565656565656566,0.6346801346801347,0.0,-0.02188552188552184,0.04208754208754206,0.05218855218855223,0.06060606060606055
44,phase_noise_0.05,0.664983164983165,0.6851851851851852,0.6784511784511784,0.02020202020202022,0.013468013468013407,0.03367003367003363,0.023569023569023573,0.01683501683501687
44,phase_noise_0.10,0.6801346801346801,0.6885521885521886,0.6750841750841751,0.008417508417508435,-0.005050505050505083,0.01851851851851849,0.02020202020202022,0.02020202020202022
