model,seed,perturbation,acc,macro_f1,delta_acc_vs_full,delta_macro_f1_vs_full
concat,42,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5387205387205387,-0.6592771650383777
concat,42,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5387205387205387,-0.6592771650383777
concat,42,band_0.50_0.75,0.16666666666666666,0.047619047619047616,-0.5387205387205387,-0.6592771650383777
concat,42,blur_light,0.265993265993266,0.22549560268251012,-0.43939393939393934,-0.4814006099749152
concat,42,blur_heavy,0.1835016835016835,0.08275697510475477,-0.5218855218855218,-0.6241392375526705
concat,42,downsample_x2,0.6346801346801347,0.6413147045963098,-0.07070707070707061,-0.06558150806111551
concat,42,downsample_x4,0.37542087542087543,0.3526215341902692,-0.3299663299663299,-0.3542746784671561
concat,42,amplitude_noise_0.05,0.6818181818181818,0.6852191419042625,-0.023569023569023573,-0.02167707075316283
concat,42,amplitude_noise_0.10,0.6801346801346801,0.6818661929900619,-0.025252525252525193,-0.0250300196673634
concat,42,phase_noise_0.05,0.6734006734006734,0.6767637985851013,-0.031986531986531896,-0.030132414072324032
concat,42,phase_noise_0.10,0.6835016835016835,0.6854169840840826,-0.02188552188552184,-0.021479228573342724
concat,43,full,0.702020202020202,0.7029942515171171,0.0,0.0
concat,43,low_0.15,0.3164983164983165,0.2830688549057459,-0.3855218855218855,-0.41992539661137124
concat,43,low_0.30,0.44612794612794615,0.438711702842933,-0.25589225589225584,-0.26428254867418416
concat,43,low_0.50,0.6632996632996633,0.6662848344056868,-0.03872053872053871,-0.03670941711143039
concat,43,high_0.30,0.1717171717171717,0.05783439732482141,-0.5303030303030303,-0.6451598541922957
concat,43,high_0.50,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6553752038980696
concat,43,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6553752038980696
concat,43,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6553752038980696
concat,43,band_0.50_0.75,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6553752038980696
concat,43,blur_light,0.4612794612794613,0.4544141201440779,-0.2407407407407407,-0.24858013137303925
concat,43,blur_heavy,0.2558922558922559,0.2076554293010182,-0.4461279461279461,-0.49533882221609893
concat,43,downsample_x2,0.6717171717171717,0.6750236281357059,-0.030303030303030276,-0.027970623381411208
concat,43,downsample_x4,0.5286195286195287,0.5291862839410959,-0.17340067340067333,-0.17380796757602124
concat,43,amplitude_noise_0.05,0.6767676767676768,0.6788065663124717,-0.025252525252525193,-0.024187685204645426
concat,43,amplitude_noise_0.10,0.6851851851851852,0.6881604753751641,-0.01683501683501676,-0.014833776141953026
concat,43,phase_noise_0.05,0.6818181818181818,0.6842312126898819,-0.02020202020202022,-0.01876303882723529
concat,43,phase_noise_0.10,0.6801346801346801,0.6823094015132818,-0.02188552188552184,-0.020684850003835353
concat,44,full,0.7087542087542088,0.7100984965118888,0.0,0.0
concat,44,low_0.15,0.26936026936026936,0.14116166756341528,-0.43939393939393945,-0.5689368289484735
concat,44,low_0.30,0.3451178451178451,0.23752066024419952,-0.3636363636363637,-0.47257783626768934
concat,44,low_0.50,0.6565656565656566,0.6513930247701205,-0.05218855218855223,-0.05870547174176832
concat,44,high_0.30,0.1734006734006734,0.06131243738371261,-0.5353535353535355,-0.6487860591281762
concat,44,high_0.50,0.16666666666666666,0.048034934497816595,-0.5420875420875422,-0.6620635620140722
concat,44,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5420875420875422,-0.6624794488928412
concat,44,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5420875420875422,-0.6624794488928412
concat,44,band_0.50_0.75,0.16498316498316498,0.04748062015503876,-0.5437710437710438,-0.6626178763568501
concat,44,blur_light,0.2996632996632997,0.23478951168296483,-0.4090909090909091,-0.47530898482892403
concat,44,blur_heavy,0.2255892255892256,0.1348163284807469,-0.48316498316498324,-0.575282168031142
concat,44,downsample_x2,0.6414141414141414,0.6449704876549053,-0.06734006734006737,-0.06512800885698355
concat,44,downsample_x4,0.398989898989899,0.33570241923455124,-0.3097643097643098,-0.3743960772773376
concat,44,amplitude_noise_0.05,0.6750841750841751,0.6777570816868916,-0.03367003367003374,-0.032341414824997194
concat,44,amplitude_noise_0.10,0.6734006734006734,0.6754819619223009,-0.03535353535353536,-0.03461653458958791
concat,44,phase_noise_0.05,0.6851851851851852,0.6868485348590396,-0.023569023569023573,-0.023249961652849205
concat,44,phase_noise_0.10,0.6885521885521886,0.68983503997937,-0.02020202020202022,-0.02026345653251882
