probe_name,run_name,model,seed,perturbation,class_idx,class_name,num_samples,acc
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,4,sadness,99,0.6363636363636364
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,5,surprise,99,0.6262626262626263
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,0,anger,99,0.5252525252525253
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,1,disgust,99,0.8787878787878788
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,2,fear,99,0.7171717171717171
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,3,joy,99,0.696969696969697
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,4,sadness,99,0.6060606060606061
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.10,5,surprise,99,0.5858585858585859
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,0,anger,99,0.5454545454545454
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,1,disgust,99,0.8383838383838383
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,2,fear,99,0.6868686868686869
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,3,joy,99,0.6565656565656566
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,4,sadness,99,0.6363636363636364
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.05,5,surprise,99,0.6262626262626263
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,0,anger,99,0.5757575757575758
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,1,disgust,99,0.8282828282828283
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,2,fear,99,0.7070707070707071
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,3,joy,99,0.696969696969697
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,4,sadness,99,0.6060606060606061
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,phase_noise_0.10,5,surprise,99,0.6161616161616161
